,Type,Date,Ticker,Position,Price,PnL,ROE,Trade_Length,Cumm,DD
0,BUY ORDER,21-08-2015,MICR.BO,1,30.95,,,,,
1,BUY ORDER,24-08-2015,MICR.BO,1,30.95,,,,,
2,BUY ORDER,25-08-2015,MICR.BO,1,30.95,,,,,
3,BUY ORDER,26-08-2015,MICR.BO,1,30.95,,,,,
4,BUY ORDER,27-08-2015,MICR.BO,1,30.95,,,,,
5,BUY ORDER,28-08-2015,MICR.BO,1,30.95,,,,,
6,BUY ORDER,31-08-2015,MICR.BO,1,30.95,,,,,
7,BUY ORDER,01-09-2015,MICR.BO,1,30.95,,,,,
8,BUY ORDER,02-09-2015,MICR.BO,1,30.95,,,,,
9,BUY ORDER,03-09-2015,MICR.BO,1,30.95,,,,,
10,BUY ORDER,04-09-2015,MICR.BO,1,30.95,,,,,
11,BUY ORDER,07-09-2015,MICR.BO,1,30.95,,,,,
12,BUY ORDER,08-09-2015,MICR.BO,1,30.95,,,,,
13,BUY ORDER,09-09-2015,MICR.BO,1,30.95,,,,,
14,BUY ORDER,10-09-2015,MICR.BO,1,30.95,,,,,
15,BUY ORDER,11-09-2015,MICR.BO,1,30.95,,,,,
16,BUY ORDER,14-09-2015,MICR.BO,1,30.95,,,,,
17,BUY ORDER,15-09-2015,MICR.BO,1,30.95,,,,,
18,BUY ORDER,16-09-2015,MICR.BO,1,30.95,,,,,
19,BUY ORDER,18-09-2015,MICR.BO,1,30.95,,,,,
20,BUY ORDER,21-09-2015,MICR.BO,1,30.95,,,,,
21,BUY ORDER,22-09-2015,MICR.BO,1,30.95,,,,,
22,BUY ORDER,23-09-2015,MICR.BO,1,30.95,,,,,
23,BUY ORDER,24-09-2015,MICR.BO,1,30.95,,,,,
24,BUY ORDER,28-09-2015,MICR.BO,1,30.95,,,,,
25,BUY ORDER,29-09-2015,MICR.BO,1,30.95,,,,,
26,BUY ORDER,30-09-2015,MICR.BO,1,30.95,,,,,
